Year,Age Group,Veteran Suicide Deaths,Veteran Population Estimate,"Veteran Crude Rate per 100,000",Non-Veteran Suicide Deaths,Non-Veteran Population Estimate,"Non-Veteran Crude Rate per 100,000",Male Veteran Suicide Deaths,Male Veteran Population Estimate,"Male Veteran Crude Rate per 100,000",Male Non-Veteran Suicide Deaths,Male Non-Veteran Population Estimate,"Male Non-Veteran Crude Rate per 100,000",Age Group 2,Female Veteran Suicide Deaths,Female Veteran Population Estimate,"Female Veteran Crude Rate per 100,000",Female Non-Veteran Suicide Deaths,Female Non-Veteran Population Estimate,"Female Non-Veteran Crude Rate per 100,000"
2011,55-74,2317,9227000,25.1,7383,51326848,14.4,2267,8812000,25.7,5305,20020724,26.5,55+,55,577000,9.5,2494,42557850,5.9
2011,75+,1439,4777000,30.1,1703,14086879,12.1,1434,4615000,31.1,1287,2835153,45.4,,,,,,,
2011,Total,6437,22521000,28.6,31942,215128350,14.8,6184,20694000,29.9,23982,94724578,25.3,Total,253,1827000,13.8,7960,120403772,6.6
2012,18-34,727,2119000,34.3,9502,71543459,13.3,675,1710000,39.5,7612,35650986,21.4,18-34,52,409000,12.7,1890,35892473,5.3
2012,35-54,1917,6191000,31.0,13703,78576080,17.4,1788,5353000,33.4,9975,36592800,27.3,35-54,129,838000,15.4,3728,41983280,8.9
2012,55-74,2345,9137000,25.7,7951,53429639,14.9,2291,8686000,26.4,5741,21112751,27.2,55+,58,598000,9.7,2634,43697955,6.0
2012,75+,1438,4746000,30.3,1843,14392148,12.8,1434,4599000,31.2,1419,3011081,47.1,,,,,,,
2012,Total,6432,22193000,29.0,32994,217941326,15.1,6193,20348000,30.4,24742,96367618,25.7,Total,239,1845000,13.0,8252,121573708,6.8
2013,18-34,810,2092000,38.7,9562,72230866,13.2,748,1694000,44.2,7591,36041051,21.1,18-34,62,398000,15.6,1971,36189815,5.4
2013,35-54,1810,6004000,30.1,13362,78190889,17.1,1688,5165000,32.7,9708,36507424,26.6,35-54,122,839000,14.5,3654,41683465,8.8
2013,55-74,2418,9106000,26.6,8511,55364667,15.4,2354,8626000,27.3,6091,22083987,27.6,55+,71,636000,11.2,2844,44778115,6.4
2013,75+,1453,4798000,30.3,1968,14638591,13.4,1446,4642000,31.2,1544,3141156,49.2,,,,,,,
2013,Total,6497,22000000,29.5,33397,220425013,15.2,6242,20127000,31.0,24928,97773618,25.5,Total,255,1873000,13.6,8469,122651395,6.9
2014,18-34,789,2073000,38.1,9959,72791526,13.7,731,1681000,43.5,7931,36362277,21.8,18-34,58,392000,14.8,2028,36429249,5.6
2014,35-54,1868,5833000,32.0,13621,77899308,17.5,1705,5002000,34.1,9766,36455192,26.8,35-54,163,831000,19.6,3855,41444116,9.3
2014,55-74,2487,9058000,27.5,9167,57278532,16.0,2421,8547000,28.3,6554,23048354,28.4,55+,73,652000,11.2,3083,45909871,6.7
2014,75+,1489,4702000,31.7,2098,15101919,13.9,1482,4561000,32.5,1628,3422226,47.6,,,,,,,
2014,Total,6639,21666000,30.6,34839,223071285,15.6,6345,19791000,32.1,25873,99288049,26.1,Total,294,1875000,15.7,8966,123783236,7.2
2015,18-34,844,2045000,41.3,10608,73124041,14.5,782,1658000,47.2,8371,36570235,22.9,18-34,62,387000,16.0,2237,36553806,6.1
2015,35-54,1860,5663000,32.8,13827,77790133,17.8,1708,4838000,35.3,9926,36504218,27.2,35-54,152,825000,18.4,3901,41285915,9.4
2015,55-74,2496,8955000,27.9,9444,59274356,15.9,2406,8401000,28.6,6662,24100987,27.6,55+,100,698000,14.3,3312,47015079,7.0
2015,75+,1407,4578000,30.7,2304,15587582,14.8,1397,4434000,31.5,1774,3745872,47.4,,,,,,,
2015,Total,6613,21241000,31.1,36177,225776112,16.0,6299,19331000,32.6,26727,100921312,26.5,Total,314,1910000,16.4,9450,124854800,7.6
2016,18-34,892,1997000,44.7,11105,73536781,15.1,835,1622000,51.5,8858,36823312,24.1,18-34,57,375000,15.2,2247,36713469,6.1
2016,35-54,1697,5496000,30.9,13770,77670247,17.7,1564,4682000,33.4,9928,36536887,27.2,35-54,133,814000,16.3,3842,41133360,9.3
2016,55-74,2444,8831000,27.7,9718,61148106,15.9,2350,8254000,28.5,6858,25077063,27.3,55+,107,710000,15.1,3357,48142655,7.0
2016,75+,1432,4539000,31.5,2369,16073764,14.7,1419,4406000,32.2,1872,4002152,46.8,,,,,,,
2016,Total,6475,20863000,31.0,36952,228428898,16.2,6178,18964000,32.6,27506,102439414,26.9,Total,297,1899000,15.6,9446,125989484,7.5
2017,18-34,892,1951000,45.7,12052,73832096,16.3,807,1589000,50.8,9641,37003761,26.1,18-34,85,362000,23.5,2411,36828335,6.5
2017,35-54,1795,5343000,33.6,14101,77645924,18.2,1649,4529000,36.4,10278,36619137,28.1,35-54,146,814000,17.9,3823,41026787,9.3
2017,55-74,2550,8674000,29.4,10052,62805548,16.0,2433,8056000,30.2,7245,25983386,27.9,55+,144,761000,18.9,3281,49147856,6.7
2017,75+,1494,4512000,33.1,2454,16636625,14.8,1467,4369000,33.6,1980,4310931,45.9,,,,,,,
2017,Total,6761,20480000,33.0,38629,230920193,16.7,6384,18543000,34.4,29116,103917215,28.0,Total,377,1937000,19.5,9513,127002978,7.5
2018,18-34,908,1904000,47.7,12094,74079588,16.3,822,1547000,53.1,9602,37162508,25.8,18-34,86,357000,24.1,2492,36917080,6.8
2018,35-54,1741,5196000,33.5,14125,77595180,18.2,1604,4381000,36.6,10377,36688016,28.3,35-54,137,815000,16.8,3748,40907164,9.2
2018,55-74,2644,8551000,30.9,10870,64122432,17.0,2545,7893000,32.2,7889,26709973,29.5,55+,112,793000,14.1,3483,50141882,6.9
2018,75+,1345,4515000,29.8,2783,17405156,16.0,1332,4380000,30.4,2281,4675733,48.8,,,,,,,
2018,Total,6660,20166000,33.0,39850,233202356,17.1,6324,18201000,34.7,30128,105236230,28.6,Total,336,1965000,17.1,9722,127966126,7.6
2019,18-34,828,1863000,44.4,12085,74296527,16.3,766,1514000,50.6,9763,37297101,26.2,18-34,62,349000,17.8,2322,36999426,6.3
2019,35-54,1663,5075000,32.8,13874,77459046,17.9,1525,4258000,35.8,10146,36706046,27.6,35-54,138,817000,16.9,3728,40753000,9.1
2019,55-74,2407,8352000,28.8,10698,65579970,16.3,2317,7669000,30.2,7855,27529798,28.5,55+,97,826000,11.7,3404,51107291,6.7
2019,75+,1336,4507000,29.6,2970,18067830,16.4,1329,4364000,30.5,2409,5010711,48.1,,,,,,,
2019,Total,6261,19797000,31.6,39600,235403373,16.8,5964,17805000,33.5,30146,106543656,28.3,Total,297,1992000,14.9,9454,128859717,7.3
